City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lebu,-37.6167,-73.65,18.5,69,0,6.45,CL,1614872862
Jamestown,42.097,-79.2353,-1.11,92,90,6.21,US,1614872863
Hobart,-42.8794,147.3294,12.22,58,95,5.66,AU,1614872760
Castro,-24.7911,-50.0119,23.18,77,95,5.42,BR,1614872863
Sørland,67.667,12.6934,-1.0,93,98,7.72,NO,1614872863
Goiânia,-16.6786,-49.2539,29.0,54,40,1.54,BR,1614872680
Aliwal North,-30.6937,26.7114,28.8,19,64,6.67,ZA,1614872601
Tiksi,71.6872,128.8694,-29.99,98,93,2.38,RU,1614872863
Srednekolymsk,67.45,153.6833,-23.68,90,100,7.25,RU,1614872864
Kinsale,51.7075,-8.5306,4.0,81,75,3.09,IE,1614872864
Sidi Ali,36.0998,0.4206,14.74,69,4,5.48,DZ,1614872864
La Reforma,25.0833,-108.05,19.0,63,20,2.57,MX,1614872865
Miracema do Tocantins,-9.5618,-48.3967,29.35,66,100,1.67,BR,1614872865
Kavaratti,10.5669,72.642,28.81,56,0,1.72,IN,1614872865
Kabwe,-14.4469,28.4464,21.34,91,58,1.49,ZM,1614872865
Arman',59.7,150.1667,-28.11,76,0,1.47,RU,1614872866
Punta Arenas,-53.15,-70.9167,14.0,47,0,7.72,CL,1614872866
Hithadhoo,-0.6,73.0833,29.11,63,57,3.62,MV,1614872866
Zaysan,47.4667,84.8667,-11.01,91,2,0.5,KZ,1614872867
North Fort Myers,26.6673,-81.8801,19.44,68,90,3.6,US,1614872582
Saint Paul Harbor,57.79,-152.4072,-2.0,64,1,6.17,US,1614872867
Nikolskoye,59.7035,30.7861,-2.0,64,75,5.0,RU,1614872867
San Cristobal,7.7669,-72.225,27.0,57,40,2.06,VE,1614872806
Chicama,-7.8447,-79.1469,22.0,94,40,3.09,PE,1614872868
Mataura,-46.1927,168.8643,14.44,57,87,4.47,NZ,1614872868
Port Elizabeth,-33.918,25.5701,22.0,73,75,5.66,ZA,1614872868
Iqaluit,63.7506,-68.5145,-7.0,63,90,2.57,CA,1614872868
Hilo,19.7297,-155.09,18.0,82,40,2.57,US,1614872763
Upernavik,72.7868,-56.1549,-23.82,82,77,7.95,GL,1614872869
Buta,2.7858,24.73,34.95,21,72,0.47,CD,1614872869
Avarua,-21.2078,-159.775,26.0,89,75,1.03,CK,1614872869
Albany,42.6001,-73.9662,1.11,41,41,2.24,US,1614872870
Chui,-33.6971,-53.4616,25.09,79,84,4.8,UY,1614872870
Kapaa,22.0752,-159.319,20.0,77,75,7.2,US,1614872870
Bluff,-46.6,168.3333,14.44,57,99,4.47,NZ,1614872870
Ganzhou,28.8184,115.4327,12.28,85,74,0.8,CN,1614872870
Busselton,-33.65,115.3333,19.44,97,9,2.61,AU,1614872871
Paamiut,61.994,-49.6678,5.74,64,82,3.0,GL,1614872871
Dikson,73.5069,80.5464,-34.16,81,3,5.64,RU,1614872871
Qaanaaq,77.484,-69.3632,-31.15,75,85,4.29,GL,1614872871
De Aar,-30.6497,24.0123,29.97,16,37,10.0,ZA,1614872871
Saint-Augustin,51.226,-58.6502,-4.21,98,100,6.01,CA,1614872871
Rikitea,-23.1203,-134.9692,26.32,75,44,0.83,PF,1614872872
Hasaki,35.7333,140.8333,7.78,93,75,1.54,JP,1614872872
Atuona,-9.8,-139.0333,26.58,72,85,5.53,PF,1614872872
Port Alfred,-33.5906,26.891,20.56,91,91,3.96,ZA,1614872872
Lata,40.1629,-8.3327,17.22,73,100,3.13,PT,1614872872
Vao,-22.6667,167.4833,25.06,79,94,8.41,NC,1614872873
New Norfolk,-42.7826,147.0587,12.22,62,95,0.89,AU,1614872873
Coxim,-18.5067,-54.76,23.67,84,84,3.08,BR,1614872873
Ushuaia,-54.8,-68.3,14.0,54,40,1.46,AR,1614872810
Tessalit,20.1986,1.0114,28.67,13,100,6.35,ML,1614872873
Tuktoyaktuk,69.4541,-133.0374,-31.0,76,75,1.54,CA,1614872874
Puerto Ayora,-0.7393,-90.3518,28.33,83,75,2.06,EC,1614872875
Lakhtinskiy,59.9911,30.1597,-1.67,64,75,5.0,RU,1614872875
Charters Towers,-20.1,146.2667,22.25,81,92,5.77,AU,1614872875
Saldanha,-33.0117,17.9442,24.0,46,0,7.72,ZA,1614872875
Cherskiy,68.75,161.3,-24.3,90,100,1.59,RU,1614872875
Sitka,57.0531,-135.33,2.0,80,75,4.63,US,1614872875
Opuwo,-18.0607,13.84,31.2,21,0,4.51,NA,1614872876
Vaini,-21.2,-175.2,23.0,100,40,1.03,TO,1614872876
Taksimo,56.3444,114.8794,-31.08,73,2,1.77,RU,1614872876
Menongue,-14.6585,17.691,22.72,77,39,1.42,AO,1614872877
Saint-Philippe,-21.3585,55.7679,27.0,74,75,1.03,RE,1614872877
Taoudenni,22.6783,-3.9836,30.6,12,0,5.76,ML,1614872877
Lodja,-3.4833,23.4333,30.17,52,34,0.8,CD,1614872877
Tinaquillo,9.9186,-68.3047,33.33,34,13,1.6,VE,1614872877
Kiryat Gat,31.61,34.7642,13.89,100,28,4.17,IL,1614872878
Butaritari,3.0707,172.7902,27.29,81,100,7.94,KI,1614872878
Hong Kong,22.2855,114.1577,19.44,86,33,4.85,HK,1614872732
San José de Río Tinto,14.9333,-85.7,24.0,88,75,1.27,HN,1614872878
Almaznyy,48.0448,40.045,3.0,75,0,9.0,RU,1614872878
Kahului,20.8947,-156.47,18.33,77,1,2.57,US,1614872783
Barrow,71.2906,-156.7887,-32.0,68,1,2.57,US,1614872879
Jumla,29.2747,82.1838,4.03,65,47,1.46,NP,1614872879
Ponta do Sol,32.6667,-17.1,18.89,57,98,2.24,PT,1614872879
